"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"7","Overseas Arrivals","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",9825,,
"8","Overseas Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",6180,,
"8","Overseas Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",6375,,
"8","Overseas Departures","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",6715,,
"9","Net Overseas Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",4148,,
"9","Net Overseas Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",4598,,
"9","Net Overseas Migration","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",3110,,
"10","Estimated Resident Population","STE","States and Territories","8","Australian Capital Territory","A","Annual","2017","2017",412025,,
"10","Estimated Resident Population","STE","States and Territories","8","Australian Capital Territory","A","Annual","2018","2018",420379,,
"10","Estimated Resident Population","STE","States and Territories","8","Australian Capital Territory","A","Annual","2019","2019",426704,,
